100 534
13 38
11 T 57
66 G 20
75 D 48
68 G 1
65 T 77
6 G 29
54 T 73
37 D 82
72 T 9
20 D 75
90 G 31
62 G 47
33 G 66
41 D 45
90 G 19
68 T 37
75 T 15
74 T 98
47 D 82
55 D 51
79 T 13
62 G 91
79 D 37
79 T 36
81 T 71
34 G 43
85 D 85
96 G 50
71 G 9
84 T 90
79 G 98
27 G 18
38 T 58
59 G 36
34 G 67
7 D 94
85 G 11
57 T 79
88 G 76
37 G 6
18 G 94
26 D 37
45 D 24
80 D 96
63 D 4
43 T 59
18 T 58
70 T 49
97 D 43
27 T 97
37 D 51
61 T 56
51 D 32
98 D 67
43 D 27
20 G 90
90 D 33
97 T 29
86 D 45
14 D 98
63 D 75
13 T 70
82 T 16
96 T 30
91 T 79
34 D 2
24 G 13
14 D 29
83 G 66
56 T 44
21 G 87
32 G 83
69 G 55
23 D 13
5 D 8
48 G 63
71 G 14
16 D 90
85 D 11
92 T 55
63 D 42
7 D 7
44 D 8
55 G 65
59 T 63
28 D 11
84 T 44
16 D 10
45 G 3
76 G 54
54 D 20
62 T 97
11 D 95
15 T 60
46 T 1
88 D 88
85 G 73
50 G 22
58 T 92
5 T 3
11 G 70
46 D 87
99 D 67
85 D 79
3 T 47
64 T 88
70 D 36
93 T 29
96 G 76
64 T 91
20 T 59
54 D 44
59 G 99
99 D 23
68 D 55
27 D 97
29 D 78
73 T 93
26 T 53
75 D 49
55 D 54
60 G 3
57 T 4
83 G 96
27 G 80
7 D 59
75 D 53
95 D 29
70 D 61
73 G 77
71 D 80
78 G 6
83 T 63
61 G 30
62 T 71
16 D 12
54 G 99
34 T 87
10 G 88
61 T 8
84 T 36
31 G 69
7 T 58
49 T 22
75 D 16
62 D 93
86 D 21
90 T 42
69 D 1
46 D 6
96 T 25
25 G 73
7 G 10
82 D 5
79 T 65
76 G 96
12 T 5
60 T 37
85 D 76
84 D 36
53 T 82
38 T 22
67 G 29
32 D 69
99 G 32
51 T 53
24 D 71
78 D 77
99 G 15
37 T 71
82 T 23
1 G 73
38 T 25
83 G 91
13 G 25
20 T 94
91 T 15
91 D 57
76 D 84
84 T 92
30 D 84
45 G 56
19 D 1
86 G 74
24 D 3
21 D 96
77 G 12
19 D 21
54 T 33
77 T 80
44 G 46
82 G 57
54 T 8
96 D 77
12 T 85
85 G 57
81 G 98
55 D 60
40 D 40
70 T 66
5 T 62
34 T 89
87 T 53
11 D 97
80 D 75
24 T 44
54 G 82
70 G 90
71 G 32
35 G 72
99 D 83
93 G 48
27 D 78
58 T 30
73 G 91
33 G 60
80 T 3
69 D 97
5 G 19
16 T 74
84 D 85
18 T 75
61 D 32
59 G 18
39 D 89
65 T 70
19 G 13
79 D 80
5 T 38
52 G 58
24 G 70
48 T 29
90 D 12
55 T 75
91 T 46
88 T 45
33 D 9
63 G 79
89 D 61
5 G 21
98 D 58
8 D 76
31 T 74
73 D 52
26 G 5
64 G 23
96 D 79
